iid,gender,condtn,age,field_cd,race,imprace,imprelig,income,date,go_out,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,match.prob
1,0,1,21,1,4,2,4,69487,7,1,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,0.4
2,0,1,24,1,2,2,5,65929,5,1,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,0.2
3,0,1,25,2,2,8,4,59760,3,1,7,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,0
4,0,1,23,1,2,1,1,37754,5,1,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,0.222222222
5,0,1,21,1,2,8,1,86340,4,1,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,0.2
6,0,1,23,1,4,1,1,60304,3,1,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,0.2
7,0,1,22,1,4,2,4,54620,5,1,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,0.2
8,0,1,25,13,2,1,1,54062,5,1,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,0.8
9,0,1,26,13,6,1,1,47257,4,1,9,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,0.7
10,0,1,26,13,2,4,4,48652,6,1,9,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,7,0.2
11,1,1,27,8,2,7,3,41110,5,4,2,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,0
12,1,1,22,1,2,1,1,29237,1,1,1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7,0.2
13,1,1,22,1,4,3,5,41513,7,1,1,7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1,3,0.4
14,1,1,23,1,2,1,1,56580,4,1,1,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1,8,0.8
15,1,1,24,1,3,3,1,36782,4,1,1,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1,5,0.3
16,1,1,25,8,2,9,2,40805,5,1,7,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,7,0.2
17,1,1,30,13,2,1,1,38548,3,2,2,8,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2,4,0.1
18,1,1,27,8,2,8,8,52010,6,1,7,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,5,0.125
19,1,1,28,8,2,1,1,43212,1,1,7,10,10,10,10,5,5,6,7,9,8,1,1,7,7,7,7,10,10,0.888888889
20,1,1,24,8,2,1,1,40601,1,1,7,10,10,10,10,9,9,4,10,10,8,3,8,8,6,6,5,10,6,0.1
21,0,2,21,5,4,8,10,38760,7,4,10,10,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2,5,0
22,0,2,27,9,1,1,2,28418,6,2,5,1,2,2,8,8,8,1,2,6,8,8,8,9,7,7,8,8,4,0.125
23,0,2,21,3,4,9,6,32215,1,1,3,2,2,3,9,7,6,6,7,7,10,9,10,10,10,10,10,3,5,0.1875
24,0,2,27,11,2,2,3,43185,6,4,9,10,1,10,9,6,6,10,6,3,6,1,6,9,8,8,6,7,5,0
25,0,2,25,11,2,10,2,23152,5,2,9,7,4,7,7,6,3,5,6,8,9,9,7,10,6,8,8,4,5,0
26,0,2,23,11,2,2,4,43664,5,2,9,9,4,9,7,7,4,6,5,7,5,3,9,9,6,4,5,1,7,0
27,0,2,22,3,3,1,5,48441,6,2,9,7,6,8,8,7,6,8,7,8,8,5,5,5,5,7,7,8,5,0.142857143
29,0,2,22,11,2,4,5,61152,6,1,9,8,9,7,7,7,6,2,2,7,7,7,5,7,6,8,9,5,7,0.142857143
30,0,2,23,1,2,2,4,47426,7,2,1,5,6,8,7,4,4,2,1,7,8,5,7,7,7,9,6,4,3,0.142857143
31,0,2,24,1,2,4,8,36485,4,3,1,3,3,7,10,7,7,7,2,6,6,8,8,8,6,7,10,6,5,0.25
32,0,2,27,3,4,1,1,40848,4,2,2,4,1,5,9,5,5,1,2,4,9,6,6,7,5,8,10,9,3,0
33,0,2,30,3,2,4,8,41507,6,1,6,4,6,10,7,8,6,6,8,6,10,10,8,8,6,6,7,9,4,0
34,0,2,21,8,4,2,2,30191,6,2,7,7,6,6,7,4,4,5,4,7,7,6,9,10,7,7,7,7,6,0.133333333
35,0,2,25,2,2,9,7,17134,6,3,7,9,7,9,8,8,8,5,6,9,7,9,8,8,7,7,8,3,7,0.3125
36,0,2,26,2,2,7,8,25595,5,2,4,6,1,4,6,7,7,7,1,3,9,1,9,6,6,7,5,1,6,0.133333333
37,0,2,27,3,2,5,8,30038,6,2,7,6,4,6,10,9,8,7,6,7,5,6,10,7,8,7,4,9,7,0.133333333
38,0,2,23,1,1,8,1,33772,4,3,1,7,2,7,10,2,2,7,4,7,2,8,8,10,10,10,10,2,2,0.2
39,0,2,24,1,3,6,4,24997,6,4,1,3,2,4,10,10,8,7,1,5,10,9,9,10,9,9,10,1,2,0.066666667
40,1,2,25,5,4,9,6,42096,7,7,10,4,9,3,7,7,8,5,7,9,7,5,5,8,8,10,4,2,3,0
41,1,2,30,1,4,1,1,33245,6,5,1,5,5,6,5,5,5,5,10,5,6,6,6,6,5,5,5,1,7,0
42,1,2,23,5,4,1,6,28891,7,4,5,1,1,7,5,3,3,3,1,1,9,8,5,7,2,5,2,1,6,0
43,1,2,24,8,2,1,1,30379,6,3,2,8,9,6,5,7,7,2,5,5,9,6,7,4,6,5,2,1,3,0.055555556
44,1,2,24,3,2,3,3,36567,3,1,2,9,1,8,7,8,8,10,6,7,8,1,7,3,8,1,6,8,7,0.210526316
45,1,2,28,8,2,6,6,36758,6,3,7,9,7,3,6,8,6,6,7,6,6,7,6,7,6,6,6,3,7,0.285714286
46,1,2,26,8,2,2,3,40682,6,2,7,10,7,5,6,7,7,8,3,7,7,4,4,6,5,6,2,7,7,0.235294118
47,1,2,30,8,2,2,2,44316,6,1,2,6,7,2,8,7,6,3,7,4,7,4,5,8,8,7,2,1,8,0.058823529
48,1,2,22,12,2,9,2,46847,5,2,6,3,1,6,7,7,8,1,5,8,4,6,10,10,6,8,6,2,6,0.052631579
49,1,2,25,8,4,1,3,62635,3,2,7,10,7,5,7,6,7,2,8,7,9,5,5,6,5,8,2,7,6,0.315789474
50,1,2,27,1,1,4,4,12063,6,2,1,10,10,3,8,5,3,4,3,10,5,6,8,10,7,10,6,2,5,0.235294118
51,1,2,23,1,2,5,10,29809,5,3,1,6,6,7,3,4,3,6,5,4,5,7,1,6,1,2,2,1,3,0.052631579
52,1,2,21,1,2,10,9,26482,4,1,1,8,5,3,6,3,4,3,3,3,3,7,4,6,3,5,4,2,5,0.055555556
53,1,2,28,4,2,2,2,30525,6,2,4,8,4,3,10,9,8,8,4,4,9,5,7,9,9,9,7,3,6,0.055555556
54,1,2,28,8,2,1,1,30147,5,1,7,5,2,2,8,7,8,8,1,3,7,1,8,6,9,9,1,3,7,0
55,1,2,23,1,1,1,1,39919,4,2,1,10,8,4,5,5,4,1,6,10,9,7,5,10,7,10,5,1,7,0.157894737
56,0,1,23,11,2,10,9,41466,3,1,9,2,1,10,10,5,5,2,1,7,6,8,8,7,6,9,10,4,3,0.2
57,0,1,22,11,2,10,10,36857,5,2,9,4,4,5,9,9,9,9,1,5,9,9,9,9,9,9,9,9,9,0.111111111
60,0,1,29,3,6,3,10,29156,6,2,6,3,1,9,9,5,5,3,1,5,5,2,10,7,6,9,5,5,4,0.1
61,0,1,28,7,2,1,5,23988,5,2,2,1,1,5,10,10,10,5,1,5,10,6,10,10,8,10,8,7,5,0.2
62,0,1,26,1,3,1,1,28989,7,2,1,8,5,7,8,6,6,7,7,7,7,3,2,9,7,9,9,2,5,0.333333333
63,0,1,24,1,4,1,3,50948,6,1,10,5,3,8,6,9,8,5,1,2,10,1,8,9,4,5,6,2,6,0.1
64,0,1,27,11,4,6,3,38022,6,5,9,8,8,8,8,8,8,9,5,3,8,7,8,8,9,9,8,5,3,0.1
65,0,1,23,11,6,6,3,42357,5,3,3,7,5,7,8,8,8,8,8,9,8,8,8,9,8,8,9,6,7,0
66,1,1,29,8,3,1,1,47557,6,4,7,4,2,3,6,4,3,3,6,4,8,6,4,8,4,6,4,2,5,0.111111111
67,1,1,22,1,6,1,1,47559,5,2,1,9,9,6,7,6,6,4,4,4,6,6,3,9,9,9,2,1,5,0.222222222
68,1,1,27,6,1,1,1,53539,4,3,6,3,2,2,7,8,8,3,3,7,10,7,5,9,7,7,7,1,5,0
69,1,1,28,8,2,2,2,42701,6,1,7,10,7,5,5,3,2,1,3,9,8,2,4,7,6,7,2,1,3,0.25
70,1,1,26,8,2,5,1,32159,2,1,7,9,4,9,5,7,5,7,5,5,8,3,7,8,5,8,5,6,3,0.125
71,1,1,21,1,2,6,7,53940,6,2,14,9,10,6,4,3,3,7,6,7,7,8,3,10,6,8,2,1,9,0.333333333
72,1,1,22,5,2,8,1,43203,6,1,7,8,3,7,10,6,6,7,2,9,5,6,7,7,6,8,8,4,7,0
73,1,1,22,8,2,7,3,43609,4,2,7,9,9,7,6,5,4,4,6,6,5,5,5,7,7,6,4,1,2,0
74,1,1,25,5,2,3,1,42009,7,2,5,8,3,5,9,10,10,9,6,8,10,2,9,10,8,8,3,5,9,0.2
75,1,1,24,1,6,3,3,40753,5,3,1,8,2,8,7,7,7,7,5,9,8,8,5,7,6,8,5,5,5,0.222222222
76,0,2,34,6,2,5,7,38207,7,2,2,1,7,6,8,8,8,5,1,7,7,4,8,8,8,7,7,7,6,0.277777778
77,0,2,22,11,2,2,2,46166,4,2,11,7,1,10,9,9,9,8,3,6,6,6,8,8,10,10,7,9,6,0.333333333
78,0,2,23,11,3,1,4,30973,7,3,11,5,1,7,7,9,5,9,1,3,9,3,9,9,9,7,5,10,7,0.166666667
79,0,2,26,5,4,8,8,33469,7,1,5,2,3,2,10,10,10,2,1,7,4,4,9,9,8,8,3,3,5,0.166666667
80,0,2,27,10,4,3,1,28423,5,4,2,8,3,7,5,5,4,3,1,5,10,9,7,7,7,7,9,2,7,0.1875
81,0,2,28,6,2,6,9,28317,5,2,6,6,2,7,9,9,7,7,1,7,7,7,9,9,7,7,7,4,5,0.176470588
82,0,2,25,9,6,2,7,26645,3,2,2,5,5,5,8,9,10,9,1,7,8,6,8,8,8,9,6,7,7,0.25
83,0,2,35,8,3,1,5,26770,6,1,7,5,1,3,5,7,8,3,1,6,8,3,7,8,7,8,4,7,6,0.117647059
84,0,2,32,10,3,1,1,31291,4,1,4,7,1,9,9,9,9,3,1,9,9,1,9,10,9,9,5,5,7,0.125
85,0,2,30,11,2,3,5,25589,6,4,9,2,3,4,9,8,6,8,4,7,8,4,6,7,5,8,5,3,4,0.055555556
86,0,2,22,3,2,1,1,55223,7,1,2,2,2,1,4,7,7,2,1,6,4,7,5,10,10,10,2,2,6,0.470588235
87,0,2,23,11,2,8,10,84417,3,2,9,10,5,10,8,7,7,8,4,9,9,6,7,10,9,10,7,9,4,0.125
88,0,2,23,11,2,8,7,109031,4,4,9,8,7,10,7,7,7,8,6,6,10,8,9,10,8,10,9,3,5,0
89,0,2,27,8,2,3,2,84551,7,3,2,2,2,2,10,8,8,7,8,9,8,1,9,8,8,9,4,2,5,0.117647059
90,0,2,23,10,4,4,1,56232,7,7,10,8,9,6,5,8,9,6,3,1,10,6,7,8,7,6,4,1,5,0.055555556
91,0,2,25,1,6,6,8,40409,3,2,1,4,2,5,7,7,5,7,3,5,7,7,10,8,8,7,6,2,5,0.444444444
92,0,2,29,9,2,1,2,21597,6,1,7,7,2,8,10,9,9,9,2,9,10,4,10,10,8,10,6,9,5,0.388888889
93,0,2,29,5,2,2,2,36668,5,1,2,3,2,6,10,7,6,8,7,8,7,5,8,8,6,5,7,6,6,0.235294118
94,1,2,28,8,4,6,8,61668,6,3,7,7,2,8,8,5,4,4,3,3,9,5,7,9,6,7,4,5,5,0.2
95,1,2,26,8,2,7,5,76624,5,2,7,10,10,6,6,4,3,1,6,4,7,9,5,10,8,10,3,3,6,0.058823529
96,1,2,26,5,3,3,6,54558,7,1,2,5,8,7,10,10,8,10,6,8,8,3,8,9,8,7,7,3,7,0
97,1,2,29,10,2,4,1,35968,5,2,2,6,8,8,3,3,3,6,1,5,8,3,2,7,3,7,3,5,5,0.294117647
98,1,2,39,11,2,1,1,51725,4,2,2,8,8,8,7,3,3,5,1,7,7,3,7,8,6,8,2,7,5,0.125
99,1,2,28,1,2,1,1,55419,3,2,1,5,5,5,8,10,10,5,5,9,6,6,10,10,10,10,8,5,8,0.444444444
100,1,2,30,8,6,8,9,54473,3,2,2,5,4,6,7,6,6,2,2,4,6,5,7,7,3,7,6,2,5,0.142857143
101,1,2,22,8,4,3,2,49923,4,3,7,9,9,7,9,9,9,8,8,9,8,7,9,8,7,8,8,4,7,0
102,1,2,32,10,2,2,6,48467,4,4,2,9,9,9,9,4,4,7,2,5,5,4,4,9,3,5,5,2,6,0.058823529
103,1,2,26,8,2,8,9,55550,4,1,7,8,7,8,8,6,4,8,5,8,8,8,5,8,8,8,6,3,6,0.0625
104,1,2,27,10,2,6,8,26682,5,3,2,8,3,8,9,8,8,9,5,8,7,3,8,7,6,8,3,7,8,0.294117647
105,1,2,25,1,1,1,1,41547,7,1,1,9,9,6,8,5,5,3,4,7,8,6,6,7,4,7,5,5,5,0.444444444
106,1,2,22,1,3,1,3,23361,7,3,1,2,4,2,9,6,5,4,9,2,9,8,7,9,2,8,5,3,5,0.117647059
107,1,2,21,7,2,1,1,74893,4,1,2,7,2,4,7,6,7,8,1,7,7,1,5,7,9,9,1,10,6,0.6
108,1,2,24,5,2,1,1,60593,6,3,5,7,3,4,5,6,7,3,2,5,7,3,7,7,4,6,2,2,5,0.25
109,1,2,25,14,4,1,1,54856,4,1,6,2,1,2,10,10,10,1,2,2,10,5,7,10,10,10,5,3,5,0.444444444
110,1,2,28,14,2,4,6,52804,6,1,6,4,3,8,7,7,9,8,2,3,7,5,7,9,7,8,3,6,6,0.266666667
111,1,2,27,8,4,7,1,50512,5,1,7,9,9,7,9,10,9,9,1,5,9,5,8,9,8,5,3,5,9,0
112,0,1,20,3,6,1,1,49147,3,1,11,8,3,8,5,7,8,8,8,9,9,3,8,8,9,10,4,6,4,0.6
113,0,1,21,8,2,3,8,53923,4,1,10,5,3,7,10,9,8,7,2,6,8,7,10,10,9,10,10,7,7,0.3
114,0,1,20,8,1,2,4,43937,7,4,10,6,8,3,4,4,3,5,2,6,8,7,6,7,6,9,2,2,6,0.111111111
115,0,1,21,3,2,10,7,27094,5,1,3,2,2,8,7,3,3,1,1,8,10,2,2,6,4,7,8,1,3,0.3
116,0,1,21,13,2,4,1,48096,1,1,10,5,4,3,10,10,10,6,4,8,10,10,10,10,10,10,10,8,7,0.4
117,0,1,21,8,2,8,10,57213,3,1,7,6,8,6,9,8,6,3,5,8,8,5,6,5,6,5,9,3,6,0.1
119,0,1,19,16,3,5,2,48190,3,1,1,8,5,8,9,9,9,5,8,10,9,5,10,9,10,10,7,8,4,0.444444444
120,0,1,20,6,3,1,4,42390,4,3,6,5,4,4,8,7,5,3,1,5,10,6,10,9,6,8,3,5,3,0.4
121,0,1,21,3,2,8,1,43636,7,1,2,2,2,6,10,6,10,6,4,7,7,8,10,10,10,10,10,4,2,0
122,1,1,22,1,6,1,1,57887,3,1,1,7,9,7,9,7,6,5,6,6,6,8,7,8,8,8,5,4,6,0.3
123,1,1,18,5,4,3,5,30768,5,1,4,9,9,8,8,3,2,5,5,6,2,7,2,7,7,7,7,5,5,0
124,1,1,22,8,4,1,1,66699,4,1,1,5,5,8,10,8,8,6,5,8,8,6,9,9,9,8,8,7,6,0
125,1,1,21,4,2,3,1,45360,3,1,4,3,1,9,10,9,10,1,1,10,9,2,9,9,9,9,10,7,6,0.7
126,1,1,22,7,2,7,5,55080,6,3,4,10,8,7,8,8,7,5,2,7,10,5,8,8,9,10,6,7,6,0.2
127,1,1,22,5,2,1,1,54744,5,1,6,10,8,8,8,5,3,5,5,6,1,7,1,5,8,7,5,10,1,0.375
128,1,1,21,5,2,3,1,42850,3,2,5,8,7,7,6,4,4,8,7,3,5,3,4,8,10,10,2,2,5,0.6
129,1,1,26,8,2,1,1,33767,3,3,7,7,4,7,9,4,5,9,2,6,9,4,4,7,6,6,4,6,10,0.3
130,1,1,20,5,4,4,1,27304,6,2,10,7,4,9,8,3,2,7,5,7,6,2,1,2,2,9,6,2,6,0.222222222
131,1,1,19,5,4,4,1,17378,7,3,10,5,1,5,5,5,5,3,6,4,8,7,6,8,7,6,5,3,5,0
132,0,1,27,8,2,10,1,40375,7,2,7,7,2,10,5,7,7,9,1,1,5,9,5,10,3,10,1,10,5,0.2
133,0,1,24,5,4,8,6,41089,6,5,2,8,7,6,7,10,8,10,4,3,6,4,8,7,10,9,7,6,5,0
134,0,1,23,10,2,8,10,48929,5,3,2,7,4,4,8,9,6,7,8,6,8,5,9,5,7,8,8,8,8,0.2
135,0,1,26,3,2,9,6,53989,7,2,2,3,1,1,1,9,9,10,1,7,7,1,8,7,10,10,2,9,6,0.4
137,1,1,26,8,4,1,1,78193,4,1,8,6,1,8,8,4,4,1,5,7,4,7,1,9,9,10,8,3,7,0.2
138,1,1,32,8,2,9,6,63351,3,2,7,7,2,9,8,6,6,1,7,7,9,9,4,9,2,9,6,2,6,0.2
